Timestamp,RegDTest,Multiply Constant,,,,,,,
0:00:00,0.00633,0.1266,Constant,,,,,,
0:00:02,0.00628,0.1256,20,,,,,,
0:00:04,-0.00434,-0.0868,,,,,,,
0:00:06,-0.01892,-0.3784,,,,,,,
0:00:08,-0.04334,-0.8668,,,,,,,
0:00:10,-0.07157,-1.4314,,,,,,,
0:00:12,-0.09979,-1.9958,,,,,,,
0:00:14,-0.13112,-2.6224,,,,,,,
0:00:16,-0.16364,-3.2728,,,,,,,
0:00:18,-0.19615,-3.923,,,,,,,
0:00:20,-0.22867,-4.5734,,,,,,,
0:00:22,-0.26119,-5.2238,,,,,,,
0:00:24,-0.29371,-5.8742,,,,,,,
0:00:26,-0.32622,-6.5244,,,,,,,
0:00:28,-0.34946,-6.9892,,,,,,,
0:00:30,-0.36929,-7.3858,,,,,,,
0:00:32,-0.38911,-7.7822,,,,,,,
0:00:34,-0.40184,-8.0368,,,,,,,
0:00:36,-0.41182,-8.2364,,,,,,,
0:00:38,-0.4218,-8.436,,,,,,,
0:00:40,-0.43177,-8.6354,,,,,,,
0:00:42,-0.43439,-8.6878,,,,,,,
0:00:44,-0.43426,-8.6852,,,,,,,
0:00:46,-0.43414,-8.6828,,,,,,,
0:00:48,-0.42454,-8.4908,,,,,,,
0:00:50,-0.41137,-8.2274,,,,,,,
0:00:52,-0.39819,-7.9638,,,,,,,
0:00:54,-0.38502,-7.7004,,,,,,,
0:00:56,-0.37184,-7.4368,,,,,,,
0:00:58,-0.35867,-7.1734,,,,,,,
0:01:00,-0.34549,-6.9098,,,,,,,
0:01:02,-0.32724,-6.5448,,,,,,,
0:01:04,-0.30705,-6.141,,,,,,,
0:01:06,-0.28687,-5.7374,,,,,,f(x),(x-100)^2 + 10
0:01:08,-0.26668,-5.3336,,,,,,0,900
0:01:10,-0.26106,-5.2212,,,,,,5,625
0:01:12,-0.24892,-4.9784,,,,,,10,400
0:01:14,-0.23234,-4.6468,,,,,,15,225
0:01:16,-0.21577,-4.3154,,,,,,20,100
0:01:18,-0.1992,-3.984,,,,,,25,25
0:01:20,-0.18631,-3.7262,,,,,,30,0
0:01:22,-0.17482,-3.4964,,,,,,35,25
0:01:24,-0.16115,-3.223,,,,,,40,100
0:01:26,-0.14665,-2.933,,,,,,45,225
0:01:28,-0.13524,-2.7048,,,,,,50,400
0:01:30,-0.125,-2.5,,,,,,55,625
0:01:32,-0.11477,-2.2954,,,,,,60,900
0:01:34,-0.10453,-2.0906,,,,,,65,1225
0:01:36,-0.09429,-1.8858,,,,,,70,1600
0:01:38,-0.07864,-1.5728,,,,,,75,2025
0:01:40,-0.06101,-1.2202,,,,,,80,2500
0:01:42,-0.04337,-0.8674,,,,,,,
0:01:44,-0.02574,-0.5148,,,,,,,
0:01:46,-0.0081,-0.162,,,,,,,
0:01:48,0.00954,0.1908,,,,,,,
0:01:50,0.02717,0.5434,,,,,,,
0:01:52,0.04481,0.8962,,,,,,,
0:01:54,0.06597,1.3194,,,,,,,
0:01:56,0.08842,1.7684,,,,,,,
0:01:58,0.11088,2.2176,,,,,,f(x),10(x-100)^2 + 50
0:02:00,0.13333,2.6666,,,,,,0,360050
0:02:02,0.15668,3.1336,,,,,,5,330675
0:02:04,0.18037,3.6074,,,,,,10,302550
0:02:06,0.20406,4.0812,,,,,,15,275675
0:02:08,0.22774,4.5548,,,,,,20,250050
0:02:10,0.24362,4.8724,,,,,,25,225675
0:02:12,0.25658,5.1316,,,,,,30,202550
0:02:14,0.26954,5.3908,,,,,,35,180675
0:02:16,0.28249,5.6498,,,,,,40,160050
0:02:18,0.29281,5.8562,,,,,,45,140675
0:02:20,0.30216,6.0432,,,,,,50,122550
0:02:22,0.3115,6.23,,,,,,55,105675
0:02:24,0.32084,6.4168,,,,,,60,90050
0:02:26,0.33018,6.6036,,,,,,65,75675
0:02:28,0.3452,6.904,,,,,,70,62550
0:02:30,0.36234,7.2468,,,,,,75,50675
0:02:32,0.37947,7.5894,,,,,,80,40050
0:02:34,0.3966,7.932,,,,,,85,30675
0:02:36,0.42106,8.4212,,,,,,90,22550
0:02:38,0.44828,8.9656,,,,,,95,15675
0:02:40,0.4755,9.51,,,,,,100,10050
0:02:42,0.49512,9.9024,,,,,,105,5675
0:02:44,0.51564,10.3128,,,,,,110,2550
0:02:46,0.54415,10.883,,,,,,115,675
0:02:48,0.57206,11.4412,,,,,,120,50
0:02:50,0.59975,11.995,,,,,,125,675
0:02:52,0.62744,12.5488,,,,,,130,2550
0:02:54,0.6607,13.214,,,,,,135,5675
0:02:56,0.69609,13.9218,,,,,,140,10050
0:02:58,0.73149,14.6298,,,,,,145,15675
0:03:00,0.76689,15.3378,,,,,,150,22550
0:03:02,0.80228,16.0456,,,,,,155,30675
0:03:04,0.82814,16.5628,,,,,,160,40050
0:03:06,0.85042,17.0084,,,,,,,
0:03:08,0.8727,17.454,,,,,,f(x),
0:03:10,0.89095,17.819,,,,,,-120,
0:03:12,0.90768,18.1536,,,,,,-115,75
0:03:14,0.92441,18.4882,,,,,,-110,150
0:03:16,0.94113,18.8226,,,,,,-105,275
0:03:18,0.95786,19.1572,,,,,,-100,450
0:03:20,0.97459,19.4918,,,,,,-95,675
0:03:22,0.99132,19.8264,,,,,,-90,950
0:03:24,0.99578,19.9156,,,,,,-85,1275
0:03:26,0.99561,19.9122,,,,,,-80,1650
0:03:28,0.99545,19.909,,,,,,-75,2075
0:03:30,0.99528,19.9056,,,,,,-70,2550
0:03:32,0.99512,19.9024,,,,,,-65,3075
0:03:34,0.99495,19.899,,,,,,-60,3650
0:03:36,0.99479,19.8958,,,,,,-55,4275
0:03:38,0.99462,19.8924,,,,,,-50,4950
0:03:40,0.99446,19.8892,,,,,,-45,5675
0:03:42,0.99429,19.8858,,,,,,-40,6450
